Naam,Status,Moederland_of_bestuur,Continent,Type,Culinaire_regio,Nationaal_gerecht(en),Alternatieve_gerechten,Beschrijving,Belangrijkste_ingrediënten,Keukeninvloeden
Algerije,Land,Algerije,Afrika,Land,Maghrebijnse keuken,"Couscous; Chakhchoukha; Rechta","Tajine; Harira","De Algerijnse keuken combineert Berberse, Arabische en Mediterrane invloeden. Couscous is een van de belangrijkste culturele gerechten en wordt vaak met groenten, vlees en bouillon gegeten.","Griesmeel; lam; kikkererwten; groenten; specerijen","Berbers; Arabisch; Ottomaans; Frans"
Angola,Land,Angola,Afrika,Land,Centraal-Afrikaanse keuken,"Muamba de galinha; Funje","Calulu; Moamba","Muamba de galinha is kip gestoofd met palmolie, knoflook en okra. Funje is een zachte cassavepap die vaak bij stoofgerechten wordt gegeten.","Cassave; kip; palmolie; okra; maïs","Portugees; Bantu; Centraal-Afrikaans"
Benin,Land,Benin,Afrika,Land,West-Afrikaanse keuken,"Amiwo; Pâte; Kuli-kuli","Akassa; Yovo doko","De keuken van Benin gebruikt veel maïs, cassave en pinda's. Pâte is een dagelijkse basis die wordt gecombineerd met rijke sauzen.","Maïs; cassave; pinda; chili; vis","West-Afrikaans; Frans"
Botswana,Land,Botswana,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Seswaa; Bogobe","Morogo; Vetkoek","Seswaa is langzaam gekookt en uit elkaar getrokken vlees dat vaak bij feesten wordt gegeten. Bogobe is een dikke pap van sorghum of gierst.","Rundvlees; geit; sorghum; maïs","Tswana; Zuidelijk-Afrikaans"
Burkina Faso,Land,Burkina Faso,Afrika,Land,Sahel-keuken,"Riz gras; Tô","Maafé; Dambou","Burkinese gerechten draaien rond granen, peulvruchten en stoofgerechten. Tô is een stevige deegbasis die met sauzen wordt gegeten.","Gierst; rijst; pinda; okra; vlees","West-Afrikaans; Sahel"
Burundi,Land,Burundi,Afrika,Land,Grote Meren keuken,"Ugali; Boko boko harees","Mukeke vis; Bonenstoof","De Burundese keuken gebruikt eenvoudige basisproducten zoals maïs, bonen en vis uit het Tanganyikameer.","Maïs; bonen; vis; cassave","Bantu; Oost-Afrikaans"
Kameroen,Land,Kameroen,Afrika,Land,Centraal-Afrikaanse keuken,"Ndolé; Poulet DG","Koki; Achu","Kameroen heeft een zeer diverse keuken door de vele etnische groepen. Ndolé combineert bittere bladeren met pinda's en vlees of garnalen.","Pinda; cassavebladeren; kip; bakbanaan","Bantu; West-Afrikaans; Frans"
Kaapverdië,Land,Kaapverdië,Afrika,Land,Atlantisch eilandkeuken,"Cachupa","Pastéis; Buzio","Cachupa is een langzaam gekookte stoofpot met maïs, bonen, groenten en vlees of vis.","Maïs; bonen; vis; varkensvlees","Portugees; West-Afrikaans"
Centraal-Afrikaanse Republiek,Land,Centraal-Afrikaanse Republiek,Afrika,Land,Centraal-Afrikaanse keuken,"Kanda; Fufu","Gombo; Stoofgerechten","De keuken gebruikt veel zetmeelrijke basisproducten gecombineerd met sauzen en stoofgerechten.","Cassave; pinda; vlees; okra","Bantu; Centraal-Afrikaans"
Tsjaad,Land,Tsjaad,Afrika,Land,Sahel-keuken,"Daraba; Kisra","Boule; Millet gerechten","De Tsjadische keuken combineert Arabische en Afrikaanse tradities. Kisra is een dun sorghumbrood dat vaak bij stoofgerechten wordt gegeten.","Sorghum; gierst; vlees; pinda","Sahel; Arabisch; Soedanees"
Comoren,Land,Comoren,Afrika,Land,Indische Oceaan keuken,"Pilao; Kreeft met vanille","Mataba; Samoussa","De keuken van Comoren combineert Afrikaanse, Arabische, Indiase en Franse invloeden. Zeevruchten en specerijen spelen een grote rol.","Rijst; kokos; vis; vanille; kruiden","Swahili; Arabisch; Frans; Indiaas"
